Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
0xD6,Fermenting mode setting,"Used, when the value of the “heating mode setting” property (EPC = 0xE0) is 0x46 (= fermenting), to specify the sub-mode to use, and to acquire the current setting.",Automatic selection mode = 0x40 Convection fermentation mode = 0x41 Circulation fermentation mode = 0x42 Hybrid fermentation mode = 0x43 Microwave fermentation mode = 0x51 No mode specified = 0xFF,-,unsigned char,1,-,optional,optional,-,
0xE3,Chamber temperature setting,"Used, when the value of the “heating mode setting” property (EPC = 0xE0) is 0x43 (= oven) or 0x46 (= fermenting), to specify the temperature in the chamber in 0.1°C increments, and to acquire the current setting.",0xF554.0x7FFE (-273.2. 3276.6°C) 0x8001: Automatic 0x8002: Not specified,°C,signed short,2,-,optional,optional,-,
0xE4,Food temperature setting,"Used to specify the as-heated food temperature in 0.1°C increments, and to acquire the current setting.",0xF554.0x7FFE (-273.2.3276.6°C) 0x8002: Not specified,°C,signed short,2,-,optional,optional,-,
0xE5,Heating time setting,"Used to specify the duration of heating in the HH:MM:SS format, and to acquire the current setting.",0.0x17: 0.0x3B: 0.0x3B (= 0.23) (= 0.59) (= 0.59),.,unsigned char ×3,3,-,optional,optional,-,
0xE6,Remaining heating time setting,"Used to specify the time remaining to complete the heating cycle in the HH:MM:SS format, and to acquire the current setting.",0.0x17: 0.0x3B: 0.0x3B (= 0.23) (= 0.59) (= 0.59),.,unsigned char ×3,3,-,optional,optional,-,
0xE7,Microwave heating power setting,"Used, when the value of the “heating mode setting” property (EPC = 0xE0)  is 0x41 (= microwave heating), 0x42 (= defrosting), 0x47 (= stewing) or 0x48 (= steaming) or when the value of the “heating mode setting” property (EPC = 0xE0) is 0x46 (= fermenting) and the value of the “fermenting mode setting” property (EPC = 0xD6) is 0x51 (= microwave fermentation mode), to specify the microwave heating power in 1W increments, and to acquire the current setting.",0x0000.0xFFFD (0.65533W),1 W,unsigned short,2,-,optional,optional,-,
0xE8,Prompt message setting,"Used, when it is necessary to instruct the combination microwave oven to temporarily stop heating at a point during a heating cycle to allow the user to perform manual reversing, mixing, etc. and display a message to instruct the user on the manual action to be performed, to specify the prompt message to be displayed and the timing of the message (in terms of a  percentage of the total duration of the heating cycle that is allowed to elapse (from the start of the heating cycle) before the message is displayed), and to acquire the current settings. Up to 4 messages may be specified.",First byte: Prompt message code (See the prompt message code table in the subsection entitled “Prompt message setting.”) Second byte: Timing value (0.0x64) (0.100%)),.,unsigned char ×2 ×4,8,-,optional,optional,-,
0xE9,“Accessories to combination microwave oven” setting,"Used to specify, by means of a 2-byte bit map, what accessory or accessories to the combination microwave oven to use, and to acquire the current setting.",The value contained in a bit in the bit map shall be “1” if the accessory represented by that bit is used and “0” if the accessory represented by that bit is not used (See the bitmap composition table in the subsection entitled “’Accessories to combination microwave oven’ setting”).,.,unsigned short,2,-,optional,optional,-,
0xEA,Display character string setting,Used to input character strings (up to 20 characters) to use on the display of the combination microwave oven.,Shift-JIS code characters × 20,.,unsigned short ×20,40,-,optional,-,-,
0xEB,Two-stage microwave heating setting (duration),"Used, when the value of the “heating mode setting” property (EPC = 0xE0) is 0x51 (two-stage microwave heating), to specify the duration of the first and second microwave heating cycles in the HH:MM:SS format, and to acquire the current setting. Three bytes shall be used for each heating cycle, with the first and second sets of bytes used for the first and second heating cycles, respectively.",Duration of first microwave heating cycle (first through third bytes): 0.0x17: 0.0x3B: 0.0x3B (= 0.23): (= 0.59): (= 0.59) Duration of second microwave heating cycle (fourth through sixth bytes): 0.0x17: 0.0x3B: 0.0x3B (= 0.23): (= 0.59): (= 0.59),.,unsigned char ×3 ×2,6,-,optional,optional,-,
0xEC,Two-stage microwave heating setting (heating power),"Used, when the value of the “heating mode setting” property (EPC = 0xE0)  is 0x51 (two-stage microwave heating), to specify the heating power for the  first and second microwave heating cycles in 1W increments, and to acquire the current setting. Two bytes shall be used for each heating cycle, with the first and second pairs of bytes used for the first and second heating cycles, respectively.",Heating power for first microwave heating cycle (first and second bytes): 0x0000.0xFFFD (0.65533W) Heating power for second microwave heating cycle (third and fourth bytes): 0x0000.0xFFFD (0.65533W),1 W,unsigned short ×2,4,-,optional,optional,-,
